Designator,Footprint,Quantity,Value,LCSC Part #
1,SCD40DR2,1,SCD40-D-R2,
BT1,SMTM1225,1,CR2032,
"C1, C2",0603,2,4.7u,
"C10, C11, C3, C4, C5, C6, C7, C8, C9",0603,9,1u,
C12,0603,1,10n,
"C13, C14, C15, C16",0603,4,0.1u,
CB1,TL3780AF240QG,1,CircuitBreaker_1P,
"D1, D2, D3",D_SOD-123,3,D,
J1,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05_Pin,
J2,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,FPC24 (0.5mm),
J3,MSD1A,1,Micro_SD_Card,
L1,SRN3015,1,10u,
Q1,SOT-23,1,NMOS,
"Q2, Q3, Q4",SOT-23,3,PMOS,
R1,0603,1,1M,
"R2, R3, R5, R7, R8, R9",0603,6,10k,
R4,0603,1,0.47,
R6,0603,1,300,
U1,SSOP28_SS_MCH,1,PIC16F18155-I_SS,
